pdb_id	pfam_id
1A0H	PF00089
1A0H	PF09396
1A0H	PF00051
1A2X	PF13499
1A30	PF00077
1A46	PF00089
1A4W	PF00089
1A6F	PF00825
1A88	PF00561
1A8K	PF00077
1A94	PF00077
1A9M	PF00077
1ADR	PF01381
1AIX	PF00089
1AJ3	
1AKO	PF03372
1ALU	
1AMY	PF07821
1AMY	PF00128
1AOY	PF01316
1AV1	PF01442
1AVA	PF00128
1AVA	PF07821
1AVA	PF00197
1AVG	PF00089
1AZP	PF02294
1AZQ	PF02294
1B3U	PF02985
1B4O	PF02294
1B5G	PF00089
1B68	
1B72	PF00046
1B7T	PF13499
1B7T	PF00063
1B7T	PF13405
1B7T	PF02736
1B7X	PF00089
1BB0	PF00089
1BBR	PF09396
1BBR	PF00089
1BBX	PF02294
1BCU	PF00089
1BF4	
1BG9	PF07821
1BG9	PF00128
1BHX	
1BIX	PF03372
1BNZ	PF02294
1BR1	PF00063
1BR1	PF02736
1BR4	PF02736
1BR4	PF00063
1BTH	PF00014
1BTH	PF00089
1BZ4	
1C1K	PF08993
1C1K	PF08994
1C4Y	PF00089
1C8C	PF02294
1CA5	PF02294
1CA6	PF02294
1CA8	PF00089
1CGM	PF00721
1CGQ	
1CWW	PF00619
1D3P	PF00089
1D3Q	PF00089
1D3T	PF00089
1D4P	PF00089
1D4S	PF00077
1D4Y	PF00077
1D6T	PF00825
1D7M	
1D9I	PF00089
1DE8	PF03372
1DE9	PF03372
1DEW	PF03372
1DLB	
1DM4	PF00089
1DOJ	PF00089
1DOW	
1DW6	PF00077
1DWB	PF00089
1DWC	PF00089
1DX5	PF00089
1E50	PF00853
1E9N	PF03372
1EA8	
1EBK	PF00077
1EJL	PF00514
1EJL	PF16186
1EJY	PF16186
1EJY	PF00514
1ENW	
1EOJ	PF00089
1EOL	PF00089
1EQ1	PF07464
1ETR	PF00089
1ETR	PF09396
1ETS	PF09396
1ETS	PF00089
1EWK	PF01094
1EWT	PF01094
1EWV	PF01094
1F59	PF00514
1F59	PF03810
1F5Q	PF00069
1F5Q	PF00134
1FE6	PF11401
1FEW	
1FFF	PF00077
1FFI	PF00077
1FGC	PF00077
1FIW	PF00089
1FIZ	PF00089
1FPC	PF00089
1FYW	PF01582
1FYX	PF01582
1G3J	PF00514
1G5V	
1GCJ	PF13513
1GCJ	PF03810
1GG3	PF09379
1GG3	PF00373
1GGW	
1GIF	PF01187
1GJ4	PF00089
1GJ5	PF00089
1GK4	
1GNM	PF00077
1GS9	
1GT0	PF00046
1GT0	PF00505
1GT0	PF00157
1H6G	
1H7I	
1H8D	PF00089
1H8I	PF00089
1H9D	PF00853
1HBI	PF00042
1HBT	PF00089
1HD7	PF03372
1HE1	PF03545
1HEF	PF00077
1HEG	PF00077
